Template Name,Exercise Name,Sets,Reps
Push Day,Chest Press,3,8
Push Day,Shoulder Press,3,10
Push Day,Tricep Dips,3,12
Push Day,Incline Bench Press,3,8
Push Day,Lateral Raises,3,12
Push Day,Close Grip Bench Press,3,8
Pull Day,Deadlift,3,5
Pull Day,Barbell Rows,3,8
Pull Day,Bicep Curls,3,12
Pull Day,Pull Ups,3,8
Pull Day,Face Pulls,3,15
Pull Day,Hammer Curls,3,10
Leg Day,Squat,3,5
Leg Day,Lunges,3,10
Leg Day,Calf Raises,3,15
Leg Day,Leg Press,3,8
Leg Day,Romanian Deadlift,3,8
Leg Day,Leg Extensions,3,12
Full Body,Bench Press,3,5
Full Body,Squat,3,5
Full Body,Deadlift,3,5
Full Body,Overhead Press,3,8
Full Body,Barbell Rows,3,8
Full Body,Dips,3,8
Upper Body,Bench Press,4,6
Upper Body,Overhead Press,3,8
Upper Body,Barbell Rows,3,8
Upper Body,Pull Ups,3,8
Upper Body,Dips,3,8
Upper Body,Bicep Curls,3,10
Lower Body,Squat,4,6
Lower Body,Deadlift,3,5
Lower Body,Lunges,3,10
Lower Body,Leg Press,3,8
Lower Body,Calf Raises,4,15
Lower Body,Good Mornings,3,8
Strength Focus,Bench Press,5,3
Strength Focus,Squat,5,3
Strength Focus,Deadlift,5,3
Strength Focus,Overhead Press,5,3
Strength Focus,Barbell Rows,5,3
Hypertrophy Focus,Bench Press,4,8
Hypertrophy Focus,Squat,4,8
Hypertrophy Focus,Deadlift,3,8
Hypertrophy Focus,Overhead Press,4,8
Hypertrophy Focus,Barbell Rows,4,8
Hypertrophy Focus,Bicep Curls,4,12
Hypertrophy Focus,Tricep Extensions,4,12
